x1,x2,label
2.5,3.2,1
1.8,2.1,1
3.1,4.0,1
2.0,2.5,1
2.7,3.5,1
1.5,1.8,1
3.3,4.2,1
2.2,2.8,1
1.9,2.3,1
2.8,3.6,1
3.0,3.9,1
2.1,2.6,1
1.7,2.0,1
2.6,3.3,1
2.3,2.9,1
1.6,1.9,1
2.9,3.7,1
2.4,3.0,1
1.4,1.7,1
3.2,4.1,1
5.2,1.8,0
6.1,2.0,0
5.8,1.5,0
6.5,2.3,0
5.5,1.6,0
6.3,2.1,0
5.9,1.7,0
6.0,1.9,0
5.4,1.4,0
6.2,2.2,0
5.7,1.6,0
6.4,2.4,0
5.3,1.5,0
6.6,2.5,0
5.6,1.7,0
6.7,2.6,0
5.1,1.3,0
6.8,2.7,0
5.0,1.2,0
6.9,2.8,0
4.9,1.1,0
7.0,2.9,0
4.8,1.0,0
7.1,3.0,0
4.7,0.9,0
7.2,3.1,0
4.6,0.8,0
7.3,3.2,0
4.5,0.7,0
7.4,3.3,0

